File: output/sample_CN_S06_Kuser.out                   UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   33.03 mm
SCS storm type= user1
Storm duration=   6.0 h
SCS Curve number=  81.0
Watershed area=    0.24 ha
Maximum flow path length=   31.00 m
Average slope of flow path=   12.15 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   25.38 mm=   60.91 m3
Initial Abstraction=   11.92 mm
Concentration time=    0.02 h=     1.42 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    4.3793    0.0009    1.3177
    4.3850    0.0009    1.3175
    4.3907    0.0009    1.3180
    4.3963    0.0009    1.3187
    4.4020    0.0009    1.3196
    4.4077    0.0009    1.3206
    4.4134    0.0009    1.3215
    4.4190    0.0009    1.3225
    4.4247    0.0009    1.3231
    4.4304    0.0009    1.3207
    4.4361    0.0009    1.3129
    4.4417    0.0009    1.3033
    4.4474    0.0009    1.2956
    4.4531    0.0009    1.2910
    4.4588    0.0009    1.2888
    4.4644    0.0009    1.2882
    4.4701    0.0009    1.2884
    4.4758    0.0009    1.2890
    4.4815    0.0009    1.2898
    4.4871    0.0009    1.2906
    4.4928    0.0009    1.2915
    4.4985    0.0009    1.2924
    4.5042    0.0009    1.2934
    4.5098    0.0009    1.2931
    4.5155    0.0009    1.2881
    4.5212    0.0009    1.2782
    4.5269    0.0008    1.2678
    4.5325    0.0008    1.2601
    4.5382    0.0008    1.2556
    4.5439    0.0008    1.2536
    4.5496    0.0008    1.2530
    4.5553    0.0008    1.2532
    4.5609    0.0008    1.2537
    4.5666    0.0008    1.2544
    4.5723    0.0008    1.2552
    4.5780    0.0008    1.2560
    4.5836    0.0008    1.2569
    4.5893    0.0008    1.2577
    4.5950    0.0008    1.2568
    4.6007    0.0008    1.2504
    4.6063    0.0008    1.2406
    4.6120    0.0008    1.2317
    4.6177    0.0008    1.2256
    4.6234    0.0008    1.2224
    4.6290    0.0008    1.2211
    4.6347    0.0008    1.2208
    4.6404    0.0008    1.2211
    4.6461    0.0008    1.2217
    4.6517    0.0008    1.2224
    4.6574    0.0008    1.2232
    4.6631    0.0008    1.2239
    4.6688    0.0008    1.2247
    4.6744    0.0008    1.2253
