File: output/class.out                                 UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   88.00 mm
SCS storm type= user 
Storm duration=   6.0 h
SCS Curve number=  87.0
Watershed area=    0.10 ha
Maximum flow path length=   21.10 m
Average slope of flow path=    4.20 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=  489.83 mm=  489.83 m3
Initial Abstraction=    7.59 mm
Concentration time=    0.02 h=     1.44 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    2.1836    0.0026    9.2635
    2.1894    0.0026    9.2787
    2.1952    0.0026    9.2937
    2.2009    0.0026    9.3087
    2.2067    0.0026    9.3237
    2.2125    0.0026    9.3385
    2.2183    0.0026    9.3534
    2.2240    0.0026    9.3681
    2.2298    0.0026    9.3828
    2.2356    0.0026    9.3975
    2.2414    0.0026    9.4120
    2.2472    0.0026    9.4266
    2.2529    0.0026    9.4410
    2.2587    0.0026    9.4554
    2.2645    0.0026    9.4698
    2.2703    0.0026    9.4841
    2.2760    0.0026    9.4983
    2.2818    0.0026    9.5125
    2.2876    0.0026    9.5266
    2.2934    0.0027    9.5406
    2.2992    0.0027    9.5546
    2.3049    0.0027    9.5686
    2.3107    0.0027    9.5825
    2.3165    0.0027    9.5963
    2.3223    0.0027    9.6101
    2.3280    0.0027    9.6238
    2.3338    0.0027    9.6375
    2.3396    0.0027    9.6511
    2.3454    0.0027    9.6647
    2.3511    0.0027    9.6782
    2.3569    0.0027    9.6917
    2.3627    0.0027    9.7051
    2.3685    0.0027    9.7184
    2.3743    0.0027    9.7317
    2.3800    0.0027    9.7450
    2.3858    0.0027    9.7582
    2.3916    0.0027    9.7713
    2.3974    0.0027    9.7844
    2.4031    0.0027    9.7975
    2.4089    0.0027    9.8105
    2.4147    0.0027    9.8234
    2.4205    0.0027    9.8363
    2.4263    0.0027    9.8492
    2.4320    0.0027    9.8620
    2.4378    0.0027    9.8747
    2.4436    0.0027    9.8874
    2.4494    0.0028    9.9000
    2.4551    0.0028    9.9126
    2.4609    0.0028    9.9252
    2.4667    0.0028    9.9377
    2.4725    0.0028    9.9502
    2.4782    0.0028    9.9626
    2.4840    0.0028    9.9749
